### 2023 40
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|CL|AVH (A & E)|Dog Bite
L & C Kurram|4|3|2|0|2|1|0|0|0|0
Lakki Marwat|543|202|0|70|8|14|2|3|0|0
Malakand|863|69|31|23|0|0|2|3|0|6
Mansehra|1282|1|492|23|0|1|217|0|0|0
Mardan|1944|196|41|14|73|49|86|7|0|1
Mohmand|84|119|88|4|2|3|0|1|27|63
North Waziristan|80|76|3|1|6|8|6|3|1|8
Nowshera|2481|281|17|68|37|7|18|15|25|12
Orakzai|96|11|4|0|0|0|0|0|0|0
Peshawar|4814|53|189|18|112|38|12|13|0|2
Shangla|1701|489|0|132|11|35|12|50|0|0
South Waziristan (Lower)|171|139|202|28|64|12|6|15|36|142
SWU|26|8|8|0|0|0|0|0|0|0
Swabi|2185|165|404|111|32|6|21|8|0|51
Swat|4650|82|198|182|118|38|12|11|0|0
Tank|305|142|24|2|5|0|4|2|0|0
Tor Ghar|193|88|0|12|23|3|5|6|5|0
Upper Kurram|42|2|9|12|11|1|0|1|0|14
Total|37725|5023|2461|1204|1026|509|467|442|382|340

### 2023 16
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|338|0|4|5|1|0|8|1|0|0
Bannu|217|278|80|8|1|4|9|0|0|0
Battagram|134|36|271|0|5|0|0|1|0|0
Buner|94|229|24|0|5|2|11|0|0|0
Charsadda|953|13|266|33|2|0|0|0|0|0
Chitral Lower|155|0|52|242|0|0|5|0|0|0
D.I. Khan|326|150|0|0|0|0|0|0|0|0
Dir Lower|741|287|153|90|205|97|28|15|0|64
Dir Upper|150|1|33|7|21|16|12|0|0|8
Hangu|13|4|0|0|0|3|0|1|1|0
Haripur|452|2|123|1|84|0|1|0|0|0
Karak|100|14|68|2|12|0|0|1|0|0
Khyber|5|0|0|2|0|4|4|0|0|0
Kohat|35|10|16|4|0|0|0|0|0|0
Kohistan Lower|40|0|0|48|2|16|0|0|10|0
Kohistan Upper|78|0|16|20|5|6|57|0|1|0
Kolai Palas|40|4|0|3|1|10|0|0|6|1
Lakki Marwat|364|503|0|0|25|17|19|0|0|0
Malakand|31|0|0|0|0|3|0|0|3|0
Mansehra|170|3|237|9|17|18|28|0|2|8
Mardan|17|13|31|0|0|0|0|0|0|0
Nowshera|1045|30|87|5|1|22|11|0|0|2
Peshawar|888|6|398|121|7|55|18|2|5|2
Shangla|73|93|0|0|4|1|21|7|14|5
Swabi|72|2|22|21|0|0|0|0|0|0
Swat|1354|12|70|0|7|13|28|6|1|7
Tank|241|42|51|0|0|18|3|0|0|0
Tor Ghar|113|41|0|59|14|32|27|1|0|1
Total|8239|1773|2002|680|419|337|290|35|40|101

### 2023 22
Diseases|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|606|2|5|13|4|1|14|2|0|0
Bannu|316|718|135|0|5|11|38|0|0|0
Battagram|376|57|749|3|8|0|0|1|0|4
Buner|871|643|0|35|0|21|27|14|0|0
Charsadda|1528|16|325|29|7|0|3|0|0|0
Chitral Lower|517|5|144|749|8|0|7|15|0|1
Chitral Upper|85|2|2|214|2|0|9|1|0|0
D.I. Khan|931|292|0|6|30|8|0|21|14|0
Dir Lower|1969|498|235|144|217|118|79|15|0|102
Dir Upper|605|13|73|0|90|33|31|0|0|9
Hangu|434|411|693|187|15|30|44|3|0|15
Haripur|1306|9|375|27|149|0|40|2|0|17
Karak|446|79|156|27|13|4|8|17|2|0
Khyber|25|29|90|2|2|10|7|0|0|3
Kohat|56|18|30|2|2|0|0|3|0|0
Kohistan Lower|74|0|0|207|5|29|0|0|8|0
Kohistan Upper|388|13|99|70|5|42|71|1|15|0
Kolai Palas|83|1|0|0|1|14|0|0|0|0
Lakki Marwat|545|1121|0|0|23|21|9|0|0|0
Malakand|621|5|15|13|19|83|15|0|3|0
Mansehra|843|2|901|79|56|34|167|0|4|6
Mardan|1463|77|896|61|307|66|0|3|0|2
Nowshera|1971|50|91|9|4|37|27|1|0|9
Peshawar|3529|89|1254|35|369|189|126|2|7|16
Shangla|134|312|0|0|7|2|38|20|6|2
Swabi|2288|44|917|75|253|29|38|1|1|38
Swat|3572|65|258|0|182|47|99|30|0|9
Tank|1003|276|0|0|98|14|202|1|0|0
Tor Ghar|112|121|0|39|8|22|14|5|8|0
Total|26697|4968|7443|2026|1889|865|1113|158|65|236

### 2023 23
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|647|2|8|14|3|0|13|2|0|0
Bannu|418|925|202|0|0|9|27|0|0|0
Battagram|309|79|636|2|10|0|1|3|0|3
Buner|756|590|0|0|0|9|14|13|0|1
Charsadda|1718|31|246|27|6|0|2|0|0|0
Chitral Lower|671|4|132|1022|3|0|3|11|0|4
Chitral Upper|77|3|0|194|1|0|12|1|0|1
D.I. Khan|1142|392|0|18|34|34|3|14|0|0
Dir Lower|2013|723|122|164|220|148|80|29|0|102
Dir Upper|713|5|61|0|85|38|36|0|0|7
Hangu|534|434|666|173|0|56|23|1|0|2
Haripur|1719|23|417|4|200|3|38|4|0|45
Karak|525|114|108|20|13|1|3|12|0|0
Khyber|15|31|133|0|1|2|0|0|0|1
Kohat|53|21|26|4|3|0|1|2|0|0
Kohistan Lower|81|2|0|255|0|44|0|2|12|0
Kohistan Upper|576|1|87|27|4|23|27|0|0|0
Kolai Palas|71|5|0|11|9|14|0|0|12|17
Lakki Marwat|599|1371|0|0|10|22|25|0|0|0
Malakand|1447|46|60|33|68|109|34|0|0|23
Mansehra|917|5|1092|72|111|35|135|0|2|6
Mardan|1855|58|763|122|428|100|0|0|0|2
Nowshera|2269|100|81|17|2|62|43|2|3|8
Peshawar|3192|46|1031|7|99|198|111|4|8|16
Shangla|704|520|0|0|4|1|26|74|3|1
Swabi|2317|50|790|152|178|23|63|1|1|43
Swat|3493|71|358|0|128|26|170|33|0|9
Tank|337|126|3|0|0|3|1|0|0|0
Tor Ghar|115|135|0|32|10|28|33|9|10|0
Total|29283|5913|7022|2370|1630|988|924|217|51|291

### 2023 24
Diseases|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|719|3|7|11|3|1|13|2|0|0
Bannu|633|883|81|0|1|10|44|0|0|0
Buner|639|609|0|0|1|22|20|5|0|0
Charsadda|1576|50|150|22|5|0|0|0|0|0
Chitral Lower|602|6|138|813|0|0|6|18|0|2
Chitral Upper|139|2|2|228|0|0|15|0|0|1
D.I. Khan|1216|423|24|50|13|21|8|40|0|0
Dir Lower|2026|770|182|293|247|172|99|12|0|122
Dir Upper|737|8|77|0|101|45|30|0|0|13
Hangu|484|431|626|172|10|69|27|13|0|9
Haripur|1642|23|438|7|144|3|39|3|0|46
Karak|493|113|81|28|8|1|5|28|0|0
Khyber|15|34|70|0|0|8|7|0|0|0
Kohat|89|29|39|3|4|0|2|4|0|0
Kohistan Lower|108|6|0|201|3|39|0|2|3|0
Kohistan Upper|558|1|86|19|1|28|32|0|4|0
Kolai Palas|97|6|0|0|6|15|1|0|5|0
L & C Kurram|8|25|37|0|0|0|1|1|0|0
Lakki Marwat|746|1330|2|0|16|35|24|0|0|0
Malakand|1708|71|23|117|91|118|27|2|0|29
Mansehra|890|0|710|44|41|24|173|1|5|3
Mardan|1740|39|772|90|267|139|0|1|0|5
Nowshera|1966|76|60|1|0|45|26|0|0|15
Peshawar|3115|52|1064|10|86|214|117|1|2|12
Shangla|319|316|0|0|4|2|30|10|4|1
Swabi|2038|22|1159|112|239|40|46|0|0|55
Swat|3912|75|255|0|121|89|182|5|0|35
Tank|327|137|0|0|0|0|5|1|0|0
Tor Ghar|100|157|5|27|2|29|28|7|0|0
Total|28642|5697|6088|2248|1414|1169|1007|156|23|348

### 2023 25
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|668|1|10|6|2|3|12|2|0|0
Bannu|623|1014|77|0|6|10|40|0|0|0
Battagram|292|43|513|0|0|0|1|23|0|4
Buner|614|640|0|0|0|36|16|3|0|0
Charsadda|1222|75|159|32|10|0|0|0|0|0
Chitral Lower|663|9|70|561|0|0|4|9|0|0
Chitral Upper|152|6|2|192|0|0|20|1|0|0
D.I. Khan|1034|465|26|41|19|19|22|40|0|0
Dir Lower|2058|825|171|209|228|154|88|22|0|135
Dir Upper|725|7|40|0|27|37|42|0|0|9
Hangu|293|210|409|173|9|16|20|1|0|18
Haripur|1385|47|259|25|54|10|57|0|0|52
Karak|444|94|65|16|21|1|8|13|4|0
Khyber|10|13|72|2|1|7|6|0|0|1
Kohat|62|32|26|2|1|0|0|4|8|0
Kohistan Lower|75|4|0|189|10|18|0|0|1|0
Kohistan Upper|426|0|44|51|0|28|78|0|1|0
Kolai Palas|91|3|0|10|8|16|0|0|9|0
L & C Kurram|25|20|72|0|0|2|1|2|0|0
Lakki Marwat|719|1140|0|0|20|16|25|0|0|0
Malakand|1919|92|34|21|92|132|10|1|0|13
Mansehra|1026|84|648|50|86|24|139|0|19|10
Mardan|1184|36|594|20|231|47|6|2|2|2
Nowshera|1560|39|64|9|6|44|16|0|0|7
Peshawar|2924|76|818|39|266|216|128|6|0|13
Shangla|354|386|0|4|2|1|14|10|11|0
Swabi|1931|38|958|70|210|24|51|1|0|38
Swat|4060|49|62|86|62|35|185|7|0|19
Tank|279|224|0|0|0|23|5|0|0|0
Tor Ghar|103|144|0|19|2|28|12|11|1|1
Total|26921|5816|5193|1827|1373|947|1006|158|56|322

### 2023 26
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI < 5 years|B. Diarrhea|Typhoid|Dog Bite|AWD (S. Cholera)|AVH (A & E)
Abbottabad|442|0|7|1|0|2|10|2|0|0
Bannu|355|545|50|0|1|4|20|0|0|0
Battagram|143|23|320|0|7|0|0|5|0|0
Buner|375|286|0|0|6|18|13|0|0|2
Charsadda|790|34|136|7|5|0|0|0|0|0
Chitral Lower|446|2|43|377|2|0|9|7|0|0
Chitral Upper|25|1|0|76|0|0|2|0|0|2
D.I. Khan|654|329|21|40|5|24|0|35|0|0
Dir Lower|1427|339|72|92|98|125|59|10|0|113
Dir Upper|412|2|67|0|19|36|25|0|0|8
Hangu|253|237|309|102|4|20|15|5|0|10
Haripur|344|7|42|0|30|0|2|0|0|0
Karak|241|64|32|4|18|0|2|18|4|0
Khyber|8|16|64|3|1|6|4|0|0|0
Kohat|47|21|12|2|2|0|0|4|0|0
Kohistan Lower|76|1|0|47|0|35|0|1|0|0
Kohistan Upper|311|0|7|15|10|10|18|0|0|0
Kolai Palas|55|0|0|0|9|15|0|0|5|0
L & C Kurram|26|27|16|0|0|5|3|0|0|0
Lakki Marwat|365|539|0|0|5|14|13|0|0|0
Malakand|1213|46|27|31|45|151|29|0|15|0
Mansehra|414|0|193|35|29|13|50|0|13|2
Mardan|552|12|209|60|98|33|2|0|0|5
Nowshera|828|27|37|6|12|25|7|0|0|6
Peshawar|1114|9|283|22|23|115|19|3|0|3
Shangla|404|313|0|0|6|4|11|15|2|0
Swabi|800|13|627|17|111|10|23|0|0|7
Swat|1533|14|104|0|48|51|38|10|0|3
Tank|101|56|0|0|0|5|1|0|0|0
